,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
603,603,USOpen_AVC_SFR_540p_1800K_148.y4m,51209370423804899606254656516064542459.y4m,USOpen,25.0,AVC,960x540,1800K,148
604,604,USOpen_AVC_SFR_720p_2000K_148.y4m,289621139200368314878133441430839523888.y4m,USOpen,25.0,AVC,1280x720,2000K,148
605,605,USOpen_AVC_HFR_540p_1900K_148.y4m,148397064237318904690223128458901838666.y4m,USOpen,50.0,AVC,960x540,1900K,148
606,606,USOpen_AVC_HFR_720p_2200K_148.y4m,32375940018735669609548967526627801530.y4m,USOpen,50.0,AVC,1280x720,2200K,148
607,607,USOpen_HEVC_HFR_288p_300K_148.y4m,327576955705520307465324002268076372530.y4m,USOpen,50.0,HEVC,512x288,300K,148
608,608,USOpen_HEVC_HFR_396p_600K_148.y4m,136581329074739513809880965865819998730.y4m,USOpen,50.0,HEVC,704x396,600K,148
609,609,USOpen_HEVC_HFR_720p_2200K_148.y4m,170820093820562667872128549202898160132.y4m,USOpen,50.0,HEVC,1280x720,2200K,148
610,610,USOpen_HEVC_HFR_396p_900K_148.y4m,41462320153136118637675693215374966119.y4m,USOpen,50.0,HEVC,704x396,900K,148
611,611,USOpen_HEVC_SFR_720p_2200K_148.y4m,14160222648687170933262175147340148151.y4m,USOpen,25.0,HEVC,1280x720,2200K,148
612,612,USOpen_HEVC_SFR_288p_300K_148.y4m,55058053683613771459836433581879124177.y4m,USOpen,25.0,HEVC,512x288,300K,148
613,613,USOpen_HEVC_HFR_540p_1100K_148.y4m,172355521658819397178716342426092474060.y4m,USOpen,50.0,HEVC,960x540,1100K,148
614,614,USOpen_HEVC_SFR_396p_600K_148.y4m,152964180146748287147338417311941244901.y4m,USOpen,25.0,HEVC,704x396,600K,148
615,615,USOpen_HEVC_SFR_396p_900K_148.y4m,143109509021142880329870629974558715392.y4m,USOpen,25.0,HEVC,704x396,900K,148
616,616,USOpen_HEVC_HFR_540p_1900K_148.y4m,93388130823949073527943177685580389501.y4m,USOpen,50.0,HEVC,960x540,1900K,148
617,617,USOpen_HEVC_SFR_540p_1100K_148.y4m,156875241303750287171429686423257177842.y4m,USOpen,25.0,HEVC,960x540,1100K,148
618,618,USOpen_HEVC_SFR_540p_1900K_148.y4m,42465468271233968638078251063925766701.y4m,USOpen,25.0,HEVC,960x540,1900K,148
619,619,USOpen_AVC_HFR_288p_300K_604.y4m,122338583405590691643428634762901492943.y4m,USOpen,50.0,AVC,512x288,300K,604
620,620,USOpen_AVC_HFR_396p_600K_604.y4m,8013377497539126215053688843884625581.y4m,USOpen,50.0,AVC,704x396,600K,604
621,621,USOpen_AVC_HFR_396p_900K_604.y4m,124541590670373389109034090197606637542.y4m,USOpen,50.0,AVC,704x396,900K,604
622,622,USOpen_AVC_HFR_540p_1300K_604.y4m,254396647225293854570678618965462048685.y4m,USOpen,50.0,AVC,960x540,1300K,604
623,623,USOpen_AVC_SFR_288p_200K_604.y4m,297947706805208166827532444989133588395.y4m,USOpen,25.0,AVC,512x288,200K,604
624,624,USOpen_AVC_SFR_396p_400K_604.y4m,123331150489763968291736901782701399217.y4m,USOpen,25.0,AVC,704x396,400K,604
625,625,USOpen_AVC_SFR_396p_800K_604.y4m,223434030385728111575767709751018718306.y4m,USOpen,25.0,AVC,704x396,800K,604
626,626,USOpen_AVC_SFR_540p_1200K_604.y4m,150793900935950379611973856116761151432.y4m,USOpen,25.0,AVC,960x540,1200K,604
627,627,USOpen_AVC_SFR_540p_1800K_604.y4m,92207206500275709271169161028386358514.y4m,USOpen,25.0,AVC,960x540,1800K,604
628,628,USOpen_AVC_SFR_720p_2000K_604.y4m,161943710045368321693058546134973346332.y4m,USOpen,25.0,AVC,1280x720,2000K,604
629,629,USOpen_AVC_HFR_540p_1900K_604.y4m,13492328664093673612448565019592897724.y4m,USOpen,50.0,AVC,960x540,1900K,604
630,630,USOpen_AVC_HFR_720p_2200K_604.y4m,220510437930623916511674064415650885516.y4m,USOpen,50.0,AVC,1280x720,2200K,604
631,631,USOpen_HEVC_HFR_288p_300K_604.y4m,67509689931996319416983512737738849455.y4m,USOpen,50.0,HEVC,512x288,300K,604
632,632,USOpen_HEVC_HFR_396p_600K_604.y4m,197604820305044659643606936888884428569.y4m,USOpen,50.0,HEVC,704x396,600K,604
633,633,USOpen_HEVC_HFR_720p_2200K_604.y4m,259188028857418542817817448738846715492.y4m,USOpen,50.0,HEVC,1280x720,2200K,604
634,634,USOpen_HEVC_HFR_396p_900K_604.y4m,154807389889976842448249185568316274152.y4m,USOpen,50.0,HEVC,704x396,900K,604
635,635,USOpen_HEVC_SFR_720p_2200K_604.y4m,317460437993144229613694686557820291415.y4m,USOpen,25.0,HEVC,1280x720,2200K,604
636,636,USOpen_HEVC_SFR_288p_300K_604.y4m,52965404849847130439519819068953728811.y4m,USOpen,25.0,HEVC,512x288,300K,604
637,637,USOpen_HEVC_HFR_540p_1100K_604.y4m,126602597337793576069706184797546732129.y4m,USOpen,50.0,HEVC,960x540,1100K,604
638,638,USOpen_HEVC_SFR_396p_600K_604.y4m,317543107580853651655036497450363391536.y4m,USOpen,25.0,HEVC,704x396,600K,604
639,639,USOpen_HEVC_SFR_396p_900K_604.y4m,165353517619388003905369499696519339624.y4m,USOpen,25.0,HEVC,704x396,900K,604
640,640,USOpen_HEVC_HFR_540p_1900K_604.y4m,31976899182782506147876488762605270570.y4m,USOpen,50.0,HEVC,960x540,1900K,604
641,641,USOpen_HEVC_SFR_540p_1100K_604.y4m,253209575622772932789448646325419382942.y4m,USOpen,25.0,HEVC,960x540,1100K,604
642,642,USOpen_HEVC_SFR_540p_1900K_604.y4m,47589336834685208072274517545200342320.y4m,USOpen,25.0,HEVC,960x540,1900K,604
643,643,USOpen_AVC_HFR_288p_300K_648.y4m,23276500442443558336970281467368200646.y4m,USOpen,50.0,AVC,512x288,300K,648
644,644,USOpen_AVC_HFR_396p_600K_648.y4m,180488968253226908671588676985229060024.y4m,USOpen,50.0,AVC,704x396,600K,648
645,645,USOpen_AVC_HFR_396p_900K_648.y4m,225427094768067361070802009878598804974.y4m,USOpen,50.0,AVC,704x396,900K,648
646,646,USOpen_AVC_HFR_540p_1300K_648.y4m,198683734855403583074931209981420506158.y4m,USOpen,50.0,AVC,960x540,1300K,648
647,647,USOpen_AVC_SFR_288p_200K_648.y4m,31283533362578898970155833052471314911.y4m,USOpen,25.0,AVC,512x288,200K,648
648,648,USOpen_AVC_SFR_396p_400K_648.y4m,170909058572709478032363810119478440457.y4m,USOpen,25.0,AVC,704x396,400K,648
649,649,USOpen_AVC_SFR_396p_800K_648.y4m,157955020978656345674195503432948736688.y4m,USOpen,25.0,AVC,704x396,800K,648
650,650,USOpen_AVC_SFR_540p_1200K_648.y4m,118762147466851965346223563891193723220.y4m,USOpen,25.0,AVC,960x540,1200K,648
651,651,USOpen_AVC_SFR_540p_1800K_648.y4m,53193563952581524085082456700165545882.y4m,USOpen,25.0,AVC,960x540,1800K,648
652,652,USOpen_AVC_SFR_720p_2000K_648.y4m,205504687038414888780610526054166306487.y4m,USOpen,25.0,AVC,1280x720,2000K,648
653,653,USOpen_AVC_HFR_540p_1900K_648.y4m,216904665138998491298957251831582393621.y4m,USOpen,50.0,AVC,960x540,1900K,648
654,654,USOpen_AVC_HFR_720p_2200K_648.y4m,270628756520670426674061713962907727863.y4m,USOpen,50.0,AVC,1280x720,2200K,648
655,655,USOpen_HEVC_HFR_288p_300K_648.y4m,91663853249940482857119318638340360586.y4m,USOpen,50.0,HEVC,512x288,300K,648
656,656,USOpen_HEVC_HFR_396p_600K_648.y4m,59826866542521266660681648344521929039.y4m,USOpen,50.0,HEVC,704x396,600K,648
657,657,USOpen_HEVC_HFR_720p_2200K_648.y4m,28928312612191911634311332573799046477.y4m,USOpen,50.0,HEVC,1280x720,2200K,648
658,658,USOpen_HEVC_HFR_396p_900K_648.y4m,220915401319272866437509844227612124124.y4m,USOpen,50.0,HEVC,704x396,900K,648
659,659,USOpen_HEVC_SFR_720p_2200K_648.y4m,52817655989663344224333686905234389764.y4m,USOpen,25.0,HEVC,1280x720,2200K,648
660,660,USOpen_HEVC_SFR_288p_300K_648.y4m,942659580661491682106462919845475949.y4m,USOpen,25.0,HEVC,512x288,300K,648
661,661,USOpen_HEVC_HFR_540p_1100K_648.y4m,187628254893938318941485686329169295703.y4m,USOpen,50.0,HEVC,960x540,1100K,648
662,662,USOpen_HEVC_SFR_396p_600K_648.y4m,6698180133964283637712979077977567067.y4m,USOpen,25.0,HEVC,704x396,600K,648
663,663,USOpen_HEVC_SFR_396p_900K_648.y4m,145945144934659613624443048106293965729.y4m,USOpen,25.0,HEVC,704x396,900K,648
664,664,USOpen_HEVC_HFR_540p_1900K_648.y4m,199159794812858383570200854462543374589.y4m,USOpen,50.0,HEVC,960x540,1900K,648
665,665,USOpen_HEVC_SFR_540p_1100K_648.y4m,63953977162454207222596837743115971038.y4m,USOpen,25.0,HEVC,960x540,1100K,648
666,666,USOpen_HEVC_SFR_540p_1900K_648.y4m,279357609605023735991734093806402113045.y4m,USOpen,25.0,HEVC,960x540,1900K,648
667,667,Cricket1_AVC_HFR_288p_300K_210.y4m,333980729700051788531561692001357868218.y4m,Cricket1,50.0,AVC,512x288,300K,210
