,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
84,84,275928337971093463956942244159726419047.y4m,67,True,TNFF_HEVC_SFR_720p_2200K_144.y4m,73.8655
85,85,143117248474984157175745521494359596324.y4m,38,True,EPLNight_HEVC_SFR_396p_900K_0.y4m,46.522755
86,86,14299588383469745170635568006499641576.y4m,43,True,TNFNFL_AVC_HFR_720p_2200K_0.y4m,51.237026
87,87,66259711056203548371532425519432699158.y4m,50,True,Cricket1_AVC_HFR_720p_2200K_86.y4m,57.836994
88,88,24077592465009226304868652412277443232.y4m,34,True,TNFF_HEVC_HFR_396p_600K_144.y4m,42.751343
89,89,301372012356261046652938520365670861051.y4m,19,True,EPLDay_AVC_SFR_396p_400K_8.y4m,28.608545
90,90,254496809071863829104372392711977623503.y4m,49,True,TNFF_SRC_SRC_SRC_SRC_144.y4m,56.894146
91,91,234097650750808491432721995919661816763.y4m,42,True,Cricket1_HEVC_HFR_396p_600K_86.y4m,50.29417
92,92,92284195552565772263340456522515660041.y4m,19,True,USOpen_HEVC_HFR_288p_300K_0.y4m,28.608545
93,93,140418891307973177988809877275652937509.y4m,52,True,EPLNight_AVC_HFR_540p_1300K_0.y4m,59.722702
94,94,114064853416794612890460312490235053215.y4m,48,True,EPLDay_HEVC_HFR_540p_1900K_8.y4m,55.95129
95,95,275753993419725153383838464425506120748.y4m,44,True,TNFF_HEVC_SFR_396p_900K_16.y4m,52.179874
96,96,72763497578819914658274267257790687897.y4m,43,True,EPLDay_AVC_HFR_540p_1300K_8.y4m,51.237026
97,97,79241690749769548974107736132301914565.y4m,12,True,EPLNight_HEVC_SFR_288p_300K_0.y4m,22.008574
98,98,28651004939841350920796654612633127537.y4m,18,True,EPLDay_HEVC_HFR_288p_300K_8.y4m,27.66569
99,99,89599380031247215274206260379241778189.y4m,45,True,EPLNight_AVC_SFR_540p_1800K_0.y4m,53.12273
100,100,226837749413597047420881072959313883501.y4m,47,True,EPLDay_HEVC_HFR_720p_2200K_8.y4m,55.008434
101,101,36034561471955561276398366404739123810.y4m,39,True,USOpen_AVC_HFR_396p_900K_0.y4m,47.46561
102,102,20224377538311656524364753148444120368.y4m,52,True,USOpen_HEVC_SFR_540p_1900K_166.y4m,59.722702
103,103,61552609253819006848619756072877077866.y4m,34,True,Cricket2_AVC_SFR_396p_800K_90.y4m,42.751343
104,104,125967911904688557255111195249825574353.y4m,29,True,Cricket1_AVC_HFR_288p_300K_86.y4m,38.03708
105,105,220546252143487811100015042744542329515.y4m,35,True,EPLDay_HEVC_SFR_540p_1100K_8.y4m,43.6942
106,106,88380028405330925463203022444274285084.y4m,27,True,TNFF_AVC_HFR_288p_300K_16.y4m,36.15137
107,107,97203236897002203246194073187253366504.y4m,38,True,Cricket1_AVC_SFR_720p_2000K_86.y4m,46.522755
108,108,65565480736557673436310174972163512325.y4m,41,True,TNFF_AVC_HFR_540p_1300K_144.y4m,49.35132
109,109,218797781427374539278633862426308069907.y4m,37,True,Cricket2_AVC_HFR_540p_1900K_90.y4m,45.5799
110,110,33978979786134600066383782854845113141.y4m,54,True,USOpen_HEVC_HFR_540p_1900K_0.y4m,61.60841
111,111,62930852523704358936656404033657761886.y4m,39,True,TNFF_HEVC_SFR_540p_1100K_144.y4m,47.46561
112,112,288438565918500831870849660924693160677.y4m,44,True,USOpen_SRC_SRC_SRC_SRC_0.y4m,52.179874
113,113,199264699369526265539743190065057784619.y4m,28,True,USOpen_HEVC_SFR_288p_300K_166.y4m,37.094223
114,114,49499124708754027432685319070855881831.y4m,48,True,USOpen_HEVC_SFR_540p_1900K_0.y4m,55.95129
115,115,184319621099233508945272130926829570888.y4m,37,True,EPLDay_AVC_HFR_396p_900K_0.y4m,45.5799
116,116,119352662079414833188989206508630620255.y4m,45,True,EPLNight_HEVC_HFR_540p_1100K_0.y4m,53.12273
117,117,96412898465411765558531014687350516276.y4m,13,True,EPLDay_AVC_SFR_396p_800K_8.y4m,22.951424
118,118,24390427576663726418414876929071686171.y4m,28,True,Cricket1_AVC_SFR_396p_400K_86.y4m,37.094223
119,119,211997388781223734257401675148318211510.y4m,29,True,USOpen_HEVC_SFR_396p_900K_0.y4m,38.03708
120,120,307066867612951233106360876602419712855.y4m,48,True,Cricket2_AVC_HFR_720p_2200K_90.y4m,55.95129
121,121,84429919623310113815384542778144500055.y4m,42,True,USOpen_HEVC_SFR_396p_600K_0.y4m,50.29417
122,122,327524834091511757649704690884484934405.y4m,23,True,EPLDay_HEVC_SFR_288p_300K_8.y4m,32.379955
123,123,96534691069420340436920574672247852046.y4m,55,True,USOpen_HEVC_SFR_720p_2200K_0.y4m,62.551266
124,124,74383220702311185016850598391928640231.y4m,45,True,EPLDay_AVC_HFR_540p_1900K_8.y4m,53.12273
125,125,90939027582151633697168479729462541228.y4m,46,False,USOpen_AVC_SFR_396p_800K_0.y4m,49.803867
126,126,195913895863575670331331817283558260690.y4m,43,False,TNFF_HEVC_SFR_288p_300K_16.y4m,46.301483
127,127,183818464567138483221404171067239884576.y4m,74,False,EPLNight_AVC_HFR_720p_2200K_0.y4m,82.4928
128,128,111404610716173654931954474331540265144.y4m,53,False,TNFF_AVC_SFR_540p_1800K_16.y4m,57.9761
129,129,102766090170356144725167020391829597108.y4m,48,False,Cricket2_AVC_SFR_540p_1200K_90.y4m,52.13879
130,130,328471264072876523216026033918437401787.y4m,39,False,TNFNFL_HEVC_SFR_396p_600K_0.y4m,41.631634
131,131,330243685429659789904924039141435617840.y4m,25,False,EPLDay_AVC_HFR_288p_300K_0.y4m,25.28717
132,132,37374264030380859426384550060248411423.y4m,26,False,USOpen_AVC_SFR_288p_200K_0.y4m,26.454634
133,133,58076610052517561630307538981440874601.y4m,83,False,USOpen_AVC_HFR_720p_2200K_166.y4m,92.99995
134,134,183601522320287053546561588992409606204.y4m,77,False,USOpen_AVC_HFR_540p_1900K_0.y4m,85.99518
135,135,193213294464486884687111374640052161991.y4m,24,False,EPLDay_AVC_SFR_288p_200K_8.y4m,24.119707
136,136,166314572925685549839693551865322005775.y4m,46,False,TNFF_HEVC_HFR_396p_900K_16.y4m,49.803867
137,137,110303702977700373321254986536379043525.y4m,51,False,Cricket1_HEVC_SFR_396p_900K_86.y4m,55.641174
138,138,284550720452949881889455822653316158335.y4m,49,False,USOpen_HEVC_HFR_396p_900K_0.y4m,53.306255
139,139,20428790591973698562275154384349337870.y4m,32,False,TNFF_AVC_SFR_396p_400K_144.y4m,33.4594
